bcg_coverage	ba_coverage	ba31_hits	ba31_coverage	bcerg31_coverage	model_fit	model_99pi	ba_detectable	grey_zone	kraken
1	0.0007	186.8	0.00078	0.604945	103.955268946398	435.319969793614	FALSE	TRUE	493
10	0.007	1935.85	0.00814	6.06408	1042.06674542722	1373.43169395143	TRUE	TRUE	4640
100	0.07	18471.4	0.08257	60.980585	10479.0569625068	10810.4469577026	TRUE	TRUE	40396
1	0.0008	212.55	0.00089	0.607	104.30840531034	435.673106174499	FALSE	TRUE	474
10	0.008	1992.4	0.0084	6.0881	1046.19440258629	1377.55935309626	TRUE	TRUE	4875
100	0.08	19783.8	0.088365	60.954275	10474.5357859933	10805.9257593661	TRUE	TRUE	42344
1	0.0009	226.1	0.000935	0.614525	105.601520219665	436.966221146357	FALSE	TRUE	524
10	0.009	2192.25	0.009225	6.11039	1050.0247721981	1381.38972455783	TRUE	TRUE	5068
100	0.09	20745.7	0.092545	60.887665	10463.0893562112	10794.4792743759	TRUE	TRUE	43323
1	0.001	238.45	0.001	0.612085	105.182224488269	436.5469253946	FALSE	TRUE	560
10	0.01	2318.4	0.009755	6.08087	1044.95198121826	1376.31693112969	TRUE	TRUE	5183
100	0.1	21997.3	0.098465	61.001175	10482.5951998467	10813.9852121277	TRUE	TRUE	44110
100	0.11	23266.3	0.10418	60.819775	10451.4229680126	10782.8128299704	TRUE	FALSE	45492
100	0.12	24624.35	0.110795	60.980235	10478.9968176273	10810.3868125328	TRUE	FALSE	46906
100	0.13	26001	0.11699	60.960095	10475.5359094182	10806.9258876176	TRUE	FALSE	48996
100	0.14	26849.35	0.121035	60.99062	10480.7814021234	10812.1714056453	TRUE	FALSE	49362
100	0.15	28257.35	0.127525	61.082205	10496.5195986644	10827.9096782381	TRUE	FALSE	50954
100	0.16	29104.3	0.1317	61.018835	10485.629938624	10817.0199655634	TRUE	FALSE	52164
100	0.17	30145.15	0.136925	60.979295	10478.8352856652	10810.2252797908	TRUE	FALSE	53634
100	0.18	31212.35	0.14196	60.99829	10482.0994341971	10813.4894440838	TRUE	FALSE	54465
100	0.19	32599.1	0.14825	61.062055	10493.0569720301	10824.4470348616	TRUE	FALSE	55806
