run	bcerg31_coverage	ba31_hits	lef31_hit	model_fit	model_99pi	exceeds_99pi	gray_zone
P00152	2.8026121968	364	0	481.607922490142	812.972674282724	FALSE	FALSE
P00153	0.0227830698223	0	0	3.915099969091	335.279798330227	FALSE	TRUE
P00154	0.0019640577433	0	0	0.33750861802479	331.702206975656	FALSE	TRUE
P00155	0.168025139939	3	0	28.8738622719667	360.238560821637	FALSE	FALSE
P00156	0.451831483846	24	0	77.6438575765746	409.008557323021	FALSE	FALSE
P00157	0.00815083963469	2	0	1.40066076480202	332.765359122859	FALSE	TRUE
P00158	0.0273004026318	93	0	4.69136979053255	336.056068153208	FALSE	TRUE
P00159	0.00569576745556	0	0	0.978774992270173	332.343473350096	FALSE	TRUE
P00160	0.0335853874104	54	0	5.77139736821876	337.136095733498	FALSE	TRUE
P00161	0.00255327506629	0	0	0.438761203432227	331.803459561082	FALSE	TRUE
P00162	0.537366198566	365	0	92.3423578914314	423.707058213484	FALSE	FALSE
P00163	0.0109005204753	1	0	1.87317283003501	333.237871188449	FALSE	TRUE
P00164	0.11882549347	0	0	20.41927139056	351.78396984422	FALSE	FALSE
P00165	0.187174702936	266	0	32.1645712976783	363.529269893622	FALSE	FALSE
P00166	0.111558479819	1	0	19.1704895037325	350.535187946003	FALSE	FALSE
P00167	0.06373367377	80	0	10.9521546548898	342.316853040129	FALSE	TRUE
P00168	0.1025238142	125	0	17.6179498608494	348.982648289962	FALSE	FALSE
P00169	0.00176765196897	0	0	0.303757756222311	331.668456113849	FALSE	TRUE
P00170	0.0266129824217	14	0	4.57324177423333	335.937940136657	FALSE	TRUE
P00171	0.0677599921438	25	0	11.6440473218467	343.008745710687	FALSE	TRUE
P00172	0.00481194147108	1	0	0.826896114159877	332.191594471923	FALSE	TRUE
P00173	0.0225866640479	4	0	3.8813491072765	335.246047468352	FALSE	TRUE
P00174	0.0167926937052	0	0	2.88569868410938	334.250397043633	FALSE	TRUE
P00175	1.73868211725	233	0	298.779504105359	630.144223028499	FALSE	FALSE
P00176	0.0114897377983	0	0	1.97442541544416	333.339123773947	FALSE	TRUE
P00177	0.0510655013257	2	0	8.77522406862736	340.139922443973	FALSE	TRUE
P00178	0.0680546008053	0	0	11.6946736145512	343.059372003664	FALSE	TRUE
P00179	0.00746341942453	1	0	1.28253274849248	332.647231106477	FALSE	TRUE
P00180	0.180496906609	6	0	31.0170419964318	362.381740575672	FALSE	FALSE
P00181	0.0200333889816	3	0	3.44258790384255	334.807286264178	FALSE	TRUE
P00182	0.0479230089365	0	0	8.23521027980144	339.59990865303	FALSE	TRUE
P00183	0.0125699695571	0	0	2.16005515535522	333.524753514035	FALSE	TRUE
P00184	0.0313267210056	0	0	5.38326245748939	336.747960821771	FALSE	TRUE
P00185	0.127074535991	33	0	21.8368075861163	353.201506053576	FALSE	FALSE
P00186	0.0146322301876	0	0	2.51443920428726	333.879137563349	FALSE	TRUE
P00187	0.016105273495	0	0	2.76757066779297	334.132269027163	FALSE	TRUE
P00188	0	0	0	0	331.364698357605	FALSE	TRUE
P00189	0.00461553569675	1	0	0.793145252357398	332.157843610108	FALSE	TRUE
P00190	0.26082686831	352	0	44.8211444736509	376.185843294068	FALSE	FALSE
P00191	0.00274968084062	174	0	0.472512065234706	331.837210422891	FALSE	TRUE
P00192	1.41235392321	154	0	242.702447222137	574.067159149957	FALSE	FALSE
P00193	0.00314249238928	4	0	0.540013788839664	331.904712146512	FALSE	TRUE
P00194	0.151134243347	29	0	25.9712881570188	357.335986670015	FALSE	FALSE
P00195	0.535303937936	291	0	91.9879738425853	423.352674149588	FALSE	FALSE
P00196	0.00432092703525	1	0	0.74251895965282	332.107217317385	FALSE	TRUE
P00197	0.00491014435824	0	0	0.843771545060257	332.208469902829	FALSE	TRUE
P00198	11.0123735638	366	0	1892.3939458348	2223.75946920575	FALSE	FALSE
P00199	0.405479721104	141	0	69.678654191169	401.043353667279	FALSE	FALSE
P00200	7.90857311205	2114	0	1359.02907676798	1690.39420062174	TRUE	FALSE
P00201	0.134439752529	13	0	23.1024649038167	354.467163384379	FALSE	FALSE
P00202	2.94667583227	469	0	506.364179622079	837.728937049325	FALSE	FALSE
P00203	0.152116272218	83	0	26.1400424659195	357.504740980941	FALSE	FALSE
P00204	2.07512520868	993	0	356.594730373471	687.959458025721	TRUE	FALSE
P00205	10.7421192183	721	0	1845.95275999082	2177.31824336544	FALSE	FALSE
P00206	4.00402631837	983	0	688.06194413477	1019.42675155939	FALSE	FALSE
P00207	2.47451635078	130	0	425.227107848803	756.591847862668	FALSE	FALSE
P00208	2.19797702052	590	0	377.705894430335	709.07062565387	FALSE	FALSE
P00209	0.0638318766572	13	0	10.9690300857971	342.333728471121	FALSE	TRUE
P00210	2.61573210252	1884	0	449.493977484223	780.858722388233	TRUE	FALSE
P00211	23.7080428165	502	0	4074.04965274855	4405.41817484786	FALSE	FALSE
P00212	0.0371206913483	3	0	6.37891288065651	337.743611247636	FALSE	TRUE
P00213	0.204163802416	423	0	35.0840208436709	366.448719484844	TRUE	FALSE
P00214	0.052440341746	5	0	9.011480101243	340.376178477556	FALSE	TRUE
P00215	0.0055975645684	3	0	0.961899561369793	332.326597919188	FALSE	TRUE
P00216	41.7163900619	353	0	7168.64929598171	7500.02583307512	FALSE	FALSE
P00217	0.225964843366	1103	0	38.8303665036378	370.195065208604	TRUE	FALSE
P00218	0.00274968084062	0	0	0.472512065234706	331.837210422891	FALSE	TRUE
P00219	0.0926053225965	209	0	15.9135313398525	347.278229755798	FALSE	TRUE
P00220	0.0207208091918	34	0	3.56071592015896	334.925414280685	FALSE	TRUE
P00221	0.0874987724639	2	0	15.0360089329846	346.400707342674	FALSE	TRUE
P00222	0.0344692133949	0	0	5.92327624633249	337.28797461202	FALSE	TRUE
P00223	0.0422272414809	0	0	7.2564352875244	338.62113365726	FALSE	TRUE
P00224	0.218501423942	36	0	37.5478337552364	368.912532437636	FALSE	FALSE
P00225	0	3	0	0	331.364698357605	FALSE	TRUE
P00226	0.00569576745556	0	0	0.978774992270173	332.343473350096	FALSE	TRUE
P00227	0.122851811843	333	0	21.1111640573793	352.475862517659	FALSE	FALSE
P00228	0.0768928606501	112	0	13.2134623956542	344.578160793482	FALSE	TRUE
P00229	0.12540508691	242	0	21.5499252609335	352.914623725525	FALSE	FALSE
P00230	0.143474418148	72	0	24.6550045466998	356.019703044344	FALSE	FALSE
P00231	0.243346754395	16	0	41.8173177732939	373.182016533756	FALSE	FALSE
P00232	0.0873023666896	137	0	15.0022580711873	346.366956480643	FALSE	TRUE
P00233	0.0505744868899	1	0	8.69084691412546	340.055545289131	FALSE	TRUE
P00234	0.0200333889816	23	0	3.44258790384255	334.807286264178	FALSE	TRUE
P00235	0.0398703721889	3	0	6.85142494588778	338.216123314307	FALSE	TRUE
P00236	0.0152214475106	3	0	2.61569178969642	333.980390148878	FALSE	TRUE
P00237	0.0699204556614	0	0	12.0153068016688	343.380005192533	FALSE	TRUE
P00238	0.0497888637926	36	0	8.55584346691898	339.920541841388	FALSE	TRUE
P00239	0.0254345477757	6	0	4.37073660341502	335.735434965421	FALSE	TRUE
P00240	0.212805656486	115	0	36.5690587628906	367.933757428578	FALSE	FALSE
P00241	0.413041343415	484	0	70.9780623704433	402.342761888659	TRUE	FALSE
P00242	0.0335853874104	11	0	5.77139736821876	337.136095733498	FALSE	TRUE
P00243	0.0337817931847	3	0	5.80514823001608	337.169846595385	FALSE	TRUE
P00244	0.154374938623	44	0	26.5281773766832	357.892875896415	FALSE	FALSE
P00245	0.412943140528	149	0	70.9611869395704	402.325886457235	FALSE	FALSE
P00246	0.114406363547	5	0	19.6598769999054	351.024575446554	FALSE	FALSE
P00247	7.09545320632	64	0	1219.30050890507	1550.66554976199	FALSE	FALSE
P00248	0.256800549936	4	0	44.1292518066597	375.493950612898	FALSE	FALSE
P00251	0.398409113228	165	0	68.4636231662591	399.828322603701	FALSE	FALSE
P00252	0.0589217322989	35	0	10.1252585407265	341.48995692195	FALSE	TRUE
P00254	0.00117843464598	0	0	0.202505170814874	331.56720352843	FALSE	TRUE
P00257	0.0016694490818	3	0	0.286882325320213	331.651580682944	FALSE	TRUE
P00259	0.0963370323087	6	0	16.5547977140876	347.91949613483	FALSE	TRUE
P00260	0.992438377688	152	0	170.54310468767	501.907809745769	FALSE	FALSE
P00261	0.109594422076	33	0	18.8329808857592	350.197679325075	FALSE	FALSE
P00262	0.0500834724541	61	0	8.60646975962356	339.971168134293	FALSE	TRUE
P00263	0.106550132574	24	0	18.3098425278406	349.67454096268	FALSE	FALSE
P00264	0.000883825984484	1	0	0.151878878110984	331.516577235722	FALSE	TRUE
P00265	0.0384955317686	4	0	6.61516891327214	337.979867280959	FALSE	TRUE
P00266	0.0277914170677	5	0	4.77574694505164	336.140445307911	FALSE	TRUE
P00267	0.000294608661495	0	0	0.0506262927037185	331.415324650309	FALSE	TRUE
P00268	0.000982028871649	0	0	0.168754309012223	331.533452666624	FALSE	TRUE
P00269	9.12874398507	501	0	1568.706305715	1900.07157099203	FALSE	FALSE
P00270	0.0888736128842	20	0	15.2722649656003	346.636963376939	FALSE	TRUE
P00271	0.200432092704	13	0	34.4427544694702	365.807453100372	FALSE	FALSE
P00272	0.0145340273004	74	0	2.49756377338001	333.862262132422	FALSE	TRUE
P00273	0.104586074831	0	0	17.9723339098673	349.337032341885	FALSE	FALSE
P00274	15.2023961504	2320	0	2612.41795608612	2943.78422669772	FALSE	FALSE
P00275	0.14583128744	120	0	25.0600148883364	356.424713390619	FALSE	FALSE
P00276	0.126681724443	196	0	21.7693058626247	353.134004329406	FALSE	FALSE
P00277	0.0265147795345	23	0	4.55636634332608	335.921064705714	FALSE	TRUE
P00278	0.119218305018	3	0	20.4867731140515	351.851471568348	FALSE	FALSE
P00279	0.0554846312482	120	0	9.53461845919603	340.899316837744	FALSE	TRUE
P00280	0.000785623097319	0	0	0.135003447209744	331.499701804819	FALSE	TRUE
P00281	0.11499558087	6	0	19.7611295853145	351.125828032882	FALSE	FALSE
P00282	0.0072670136502	7	0	1.24878188669001	332.613480244654	FALSE	TRUE
P00283	0.00137484042031	0	0	0.236256032617353	331.600954390235	FALSE	TRUE
P00284	0.0053029559069	3	0	0.911273268665215	332.275971626462	FALSE	TRUE
P00285	0.0567612687813	35	0	9.75399906090441	341.118697440428	FALSE	TRUE
P00286	0.0254345477757	14	0	4.37073660341502	335.735434965421	FALSE	TRUE
P00287	0.000491014435824	0	0	0.0843771545060257	331.449075512113	FALSE	TRUE
P00288	0.0739467740352	60	0	12.7071994686256	344.07189786343	FALSE	TRUE
P00289	0.0168908965924	3	0	2.90257411501663	334.267272474563	FALSE	TRUE
P00290	0.00019640577433	0	0	0.033750861802479	331.398449219408	FALSE	TRUE
P00291	0.0246489246784	14	0	4.23573315620854	335.600431517947	FALSE	TRUE
P00292	0.0472355887263	36	0	8.11708226348504	339.481780636269	FALSE	TRUE
P00293	0.0182657370127	0	0	3.13883014763227	334.503528507507	FALSE	TRUE
P00294	0.441225572032	430	0	75.8213110392098	407.186010721221	TRUE	FALSE
P00295	0.00422272414809	0	0	0.72564352875244	332.090341886479	FALSE	TRUE
P00296	0.0437984876755	6	0	7.52644218193736	338.891140552593	FALSE	TRUE
P00297	0.016105273495	3	0	2.76757066779297	334.132269027163	FALSE	TRUE
P00298	0.0164980850437	2	0	2.8350723914048	334.199770750862	FALSE	TRUE
P00299	0.00451733280958	1	0	0.776269821455299	332.140968179199	FALSE	TRUE
P00300	0.0270057939703	0	0	4.64074349782798	336.005441860395	FALSE	TRUE
P00301	0.000687420210154	0	0	0.118128016308505	331.482826373917	FALSE	TRUE
P00302	0.131100854365	5	0	22.5287002531075	353.893398727639	FALSE	FALSE
P00303	0.000785623097319	3	0	0.135003447209744	331.499701804819	FALSE	TRUE
P00304	0.00824904252185	3	0	1.4175361957024	332.782234553771	FALSE	TRUE
P00305	0.00952568005499	1	0	1.63691679741766	333.00161515564	FALSE	TRUE
P00306	0.0780712952961	69	0	13.4159675664725	344.780665965543	FALSE	TRUE
P00307	0.0240597073554	0	0	4.13448057079938	335.499178932343	FALSE	TRUE
P00308	0.00549936168123	0	0	0.945024130467694	332.309722488279	FALSE	TRUE
P00309	0.0053029559069	0	0	0.911273268665215	332.275971626462	FALSE	TRUE
P00310	0.0708042816459	12	0	12.1671856797825	343.531884071493	FALSE	TRUE
P00311	1.25572031818	288	0	215.786134934346	547.15084401913	FALSE	FALSE
P00312	0.15830305411	15	0	27.2031946128015	358.567893140889	FALSE	FALSE
P00313	0.421093980163	6	0	72.3618477044257	403.726547268337	FALSE	FALSE
P00314	0.0438966905627	3	0	7.54331761284461	338.908015983559	FALSE	TRUE
P00315	0.0173819110282	17	0	2.98695126951853	334.351649629179	FALSE	TRUE
P00316	0.0105077089266	3	0	1.80567110642318	333.170369464779	FALSE	TRUE
P00317	0.0204262005303	1	0	3.51008962745438	334.874787987898	FALSE	TRUE
P00318	1.19041539821	6	0	204.563973384116	535.928681382158	FALSE	FALSE
P00319	0.00314249238928	10	0	0.540013788839664	331.904712146512	FALSE	TRUE
P00320	1.71796130806	715	0	295.218788185509	626.583506621389	TRUE	FALSE
P00321	0.0336835902976	6	0	5.78827279912601	337.15297116445	FALSE	TRUE
P00322	0.56181871747	372	0	96.5443401858254	427.909040690727	FALSE	FALSE
